latitude,longitude,Address,act_est_ttl_comp_cost,pred_est_ttl_comp_cost,best_action,expected_cost_after_action,expected_reduction_amount,pct_reduction,ai_rationale
30.36840475,-97.61332249,N HARRIS BRANCH PKWY & E PARMER LN,60000.0,74499.05929759746,increase_enforcement,52894.33210129419,21604.72719630327,0.2900000000000001,Compliance-focused action; strongest in higher-speed or nighttime contexts. Nighttime conditions detected. Higher-speed environment detected.
30.2228774,-97.67910026,8300 E STATE HIGHWAY 71,20000.0,68720.82875773056,reduce_speed_limit,56351.079581339065,12369.749176391495,0.1799999999999999,"Reduces severity, especially in higher-speed environments and where VRUs are present. Nighttime conditions detected. Higher-speed environment detected."
30.1922137,-97.73112546,5800 LARK CREEK DR,20000.0,31753.406108152514,no_change,31753.406108152514,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Nighttime conditions detected.
30.3869479,-97.64871458,E PARMER LN & DESSAU RD,60000.0,67670.40007240493,reduce_speed_limit,55489.72805937204,12180.672013032883,0.17999999999999994,"Reduces severity, especially in higher-speed environments and where VRUs are present. Nighttime conditions detected. Higher-speed environment detected."
30.40533691,-97.6643163,700 E FM 734,40000.0,114588.33173102331,reduce_speed_limit,93962.43201943912,20625.899711584192,0.17999999999999997,"Reduces severity, especially in higher-speed environments and where VRUs are present. Higher-speed environment detected."
30.20098162,-97.87090786,5745 W SLAUGTHER LN,20000.0,110394.48064389499,no_change,110394.48064389499,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Higher-speed environment detected.
30.33803091,-97.66309384,9200 TUSCANY WAY,3000000.0,471715.4231386169,no_change,471715.4231386169,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.32607206,-97.69246554,CAMERON RD & E ST JOHNS AVE,40000.0,94821.97947957591,no_change,94821.97947957591,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.28603206,-97.76386745,1400 NEWFIELD LN,60000.0,117687.22054036311,work_zone_controls,87088.5431998687,30598.67734049441,0.26,"Work zone flag indicates temporary controls (signage, barriers, speed management) are most appropriate. Work zone context detected."
30.22084885,-97.83676495,7200 S LOOP 1 SVRD,40000.0,95001.46835483979,increase_enforcement,76001.17468387184,19000.29367096795,0.1999999999999999,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.2299758,-97.78820977,W BEN WHITE BLVD & PACK SADDLE PASS,420000.0,110356.30934205401,reduce_speed_limit,92699.29984732538,17657.009494728627,0.15999999999999986,"Reduces severity, especially in higher-speed environments and where VRUs are present. Higher-speed environment detected."
30.22276774,-97.76407522,S CONGRESS AVE & W STATE HIGHWAY 290 SVRD,240000.0,109215.32734794712,increase_enforcement,87372.2618783577,21843.06546958942,0.19999999999999996,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.4085791,-97.71530814,12300 LOOP 1,240000.0,117144.80125039342,increase_enforcement,93715.84100031474,23428.96025007867,0.1999999999999999,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.2314361,-97.72077126,2100 WICKERSHAM LN,40000.0,104519.98584736919,no_change,104519.98584736919,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.26678478,-97.73825246,600 E NECHES ST,20000.0,49529.56665589301,no_change,49529.56665589301,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Nighttime conditions detected.
30.29107629,-97.71397208,3600 N CHERRYWOOD RD,250000.0,49394.380882313,no_change,49394.380882313,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Nighttime conditions detected.
30.23012907,-97.70410743,6000 BLUEBELL CIR,250000.0,88910.35063159106,no_change,88910.35063159106,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.26711478,-97.74316246,N CONGRESS AVE & E 5TH ST,60000.0,82498.78275885528,no_change,82498.78275885528,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.30315477,-97.70183247,BARBARA JORDAN BLVD & N ALDRICH ST,100000.0,95677.39096264845,no_change,95677.39096264845,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.1986648,-97.86284244,W SLAUGHTER LN & SENDERA MESA DR,240000.0,95899.45732083758,no_change,95899.45732083758,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.22223342,-97.7643517,4100 S CONGRESS AVE,40000.0,134027.81786367693,no_change,134027.81786367693,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Higher-speed environment detected.
30.42379867,-97.67165727,13600 N IH 35,200000.0,112378.34080392217,reduce_speed_limit,92150.23945921619,20228.10134470598,0.1799999999999999,"Reduces severity, especially in higher-speed environments and where VRUs are present. Higher-speed environment detected."
30.18586582,-97.74610449,6100 S PLEASANT VALLEY RD,20000.0,103768.08192162953,no_change,103768.08192162953,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.32300477,-97.69427247,CAMERON RD & ATHLETIC DR,450000.0,102185.7467456898,no_change,102185.7467456898,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.17364578,-97.82374575,W SLAUGHTER LN & S MANCHACA RD,40000.0,109896.87743920078,reduce_speed_limit,92313.37704892865,17583.500390272122,0.15999999999999998,"Reduces severity, especially in higher-speed environments and where VRUs are present. Work zone context detected. Higher-speed environment detected."
30.2203183,-97.76547125,S CONGRESS AVE & INDUSTRIAL BLVD,40000.0,100775.34484743181,no_change,100775.34484743181,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.36161004,-97.69784811,9200 N BUSINESS FM 275,620000.0,128933.54284133684,increase_enforcement,100568.16341624274,28365.3794250941,0.21999999999999997,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.24807972,-97.73562908,1300 E RIVERSIDE DR,60000.0,109290.4005404447,no_change,109290.4005404447,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.33552619,-97.80606419,3600 N CAP TX SB HWY,80000.0,109694.6033448804,increase_enforcement,87755.68267590432,21938.920668976076,0.19999999999999998,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.46904831,-97.79721772,13900 N US 183 SVRD,40000.0,134167.750864914,increase_enforcement,107334.20069193121,26833.550172982796,0.19999999999999996,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.19308655,-97.77879669,W WILLIAM CANNON DR & S CONGRESS AVE,400000.0,116211.80949719284,increase_enforcement,89483.0933128385,26728.716184354344,0.22999999999999993,Compliance-focused action; strongest in higher-speed or nighttime contexts. Higher-speed environment detected.
30.37783476,-97.71027247,1800 RUTLAND DR,60000.0,102662.78827307044,no_change,102662.78827307044,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.22183126,-97.79347341,S MANCHACA RD & W JONES RD,240000.0,111828.36148195677,no_change,111828.36148195677,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.28227847,-97.70554975,E MARTIN LUTHER KING JR BLVD & HARVEY ST,450000.0,101155.54184565115,no_change,101155.54184565115,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.36698476,-97.73994246,STECK AVE & N LOOP 1 SVRD,40000.0,93867.8578113828,no_change,93867.8578113828,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.36879476,-97.74375246,3500 STECK AVE,80000.0,133220.54989869992,no_change,133220.54989869992,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here. Higher-speed environment detected.
30.40838907,-97.68045984,1200 PARMER LN,40000.0,142524.8643743753,increase_enforcement,114019.89149950024,28504.97287487505,0.19999999999999993,Compliance-focused action; strongest in higher-speed or nighttime contexts.
30.35193846,-97.74994569,3300 FAR WEST BLVD,80000.0,95162.38834748538,no_change,95162.38834748538,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.17929421,-97.79616913,S 1ST ST & GREAT BRITAIN BLVD,310000.0,112722.4699299059,no_change,112722.4699299059,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.38643268,-97.7153225,2200 DENTON DR,40000.0,99384.22292968899,no_change,99384.22292968899,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.27012628,-97.7122953,1100 N PLEASANT VALLEY RD,40000.0,97377.55379512177,no_change,97377.55379512177,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.27253859,-97.68699944,4900 LEDESMA RD,20000.0,106154.82283245365,no_change,106154.82283245365,0.0,0.0,Predicted risk is low or interventions are not cost-effective/feasible here.
30.44948761,-97.79057477,13500 N US 183,310000.0,145603.8003768433,increase_enforcement,116483.04030147466,29120.760075368657,0.19999999999999996,Compliance-focused action; strongest in higher-speed or nighttime contexts.
